runid,num_q,num_ret,num_rel,num_rel_ret,map,gm_map,Rprec,bpref,recip_rank,iprec_at_recall_0.00,iprec_at_recall_0.10,iprec_at_recall_0.20,iprec_at_recall_0.30,iprec_at_recall_0.40,iprec_at_recall_0.50,iprec_at_recall_0.60,iprec_at_recall_0.70,iprec_at_recall_0.80,iprec_at_recall_0.90,iprec_at_recall_1.00,P_5,P_10,P_15,P_20,P_30,P_100,P_200,P_500,P_1000,ndcg_cut_10,set_recall,
textEN_LMDirichlet_9,50,50000,26664,9438,0.1591,0.1084,0.2689,0.3269,0.6960,0.7827,0.4486,0.3458,0.2529,0.1563,0.0879,0.0148,0.0000,0.0000,0.0000,0.0000,0.5800,0.5580,0.5547,0.5420,0.5107,0.4380,0.3739,0.2614,0.1888,0.5084,0.3705,
textEN_bm25_10,50,50000,26664,5840,0.0622,0.0310,0.1494,0.2069,0.5332,0.6257,0.2146,0.1319,0.0576,0.0376,0.0152,0.0090,0.0000,0.0000,0.0000,0.0000,0.3560,0.3120,0.2907,0.2780,0.2773,0.2344,0.1947,0.1506,0.1168,0.2776,0.2251,
textEN_bm25_11,50,50000,26664,7825,0.1097,0.0512,0.2083,0.2628,0.6507,0.7079,0.3397,0.2373,0.1591,0.0872,0.0468,0.0108,0.0000,0.0000,0.0000,0.0000,0.4640,0.4520,0.4347,0.4220,0.3980,0.3114,0.2723,0.2064,0.1565,0.4004,0.2996,
textEN_bm25_12,50,50000,26664,8244,0.1166,0.0611,0.2207,0.2788,0.6086,0.7189,0.3438,0.2552,0.1727,0.0978,0.0519,0.0117,0.0000,0.0000,0.0000,0.0000,0.4520,0.4640,0.4427,0.4110,0.3887,0.3328,0.2860,0.2230,0.1649,0.3941,0.3148,
textEN_DFI_10,50,50000,26664,5804,0.0615,0.0308,0.1467,0.2060,0.5724,0.6326,0.2161,0.1292,0.0623,0.0342,0.0155,0.0090,0.0000,0.0000,0.0000,0.0000,0.3480,0.2980,0.2920,0.2840,0.2727,0.2418,0.1997,0.1462,0.1161,0.2805,0.2243,
textEN_DFI_11,50,50000,26664,7345,0.0940,0.0505,0.1924,0.2458,0.6375,0.7118,0.3034,0.2105,0.1224,0.0642,0.0143,0.0000,0.0000,0.0000,0.0000,0.0000,0.4840,0.4560,0.4400,0.4160,0.3940,0.3012,0.2593,0.1956,0.1469,0.3896,0.2801,
textEN_DFI_12,50,50000,26664,7825,0.1058,0.0585,0.2080,0.2631,0.6270,0.7240,0.3324,0.2317,0.1517,0.0781,0.0192,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.4640,0.4280,0.4170,0.3933,0.3270,0.2810,0.2108,0.1565,0.4004,0.2960,
textEN_IBS_10,50,50000,26664,5926,0.0640,0.0323,0.1524,0.2109,0.5627,0.6394,0.2258,0.1377,0.0640,0.0384,0.0160,0.0132,0.0000,0.0000,0.0000,0.0000,0.3520,0.3020,0.3000,0.2870,0.2773,0.2454,0.2026,0.1504,0.1185,0.2787,0.2295,
textEN_IBS_11,50,50000,26664,7268,0.0925,0.0451,0.1900,0.2456,0.5580,0.6452,0.2884,0.2045,0.1154,0.0622,0.0304,0.0000,0.0000,0.0000,0.0000,0.0000,0.4400,0.4020,0.3933,0.3790,0.3680,0.2896,0.2479,0.1904,0.1454,0.3431,0.2793,
textEN_IBS_12,50,50000,26664,7998,0.1094,0.0589,0.2110,0.2715,0.5816,0.7007,0.3357,0.2428,0.1612,0.0894,0.0437,0.0029,0.0000,0.0000,0.0000,0.0000,0.4880,0.4500,0.4293,0.4200,0.3980,0.3218,0.2822,0.2156,0.1600,0.3821,0.3052,
