runid,num_q,num_ret,num_rel,num_rel_ret,map,gm_map,Rprec,bpref,recip_rank,iprec_at_recall_0.00,iprec_at_recall_0.10,iprec_at_recall_0.20,iprec_at_recall_0.30,iprec_at_recall_0.40,iprec_at_recall_0.50,iprec_at_recall_0.60,iprec_at_recall_0.70,iprec_at_recall_0.80,iprec_at_recall_0.90,iprec_at_recall_1.00,P_5,P_10,P_15,P_20,P_30,P_100,P_200,P_500,P_1000,ndcg_cut_10,set_recall,
textEN_LMDirichlet_25,50,50000,26664,7874,0.1040,0.0447,0.2003,0.2672,0.5695,0.6554,0.3275,0.2333,0.1572,0.0921,0.0419,0.0265,0.0000,0.0000,0.0000,0.0000,0.3720,0.3920,0.3640,0.3420,0.3173,0.2682,0.2378,0.1942,0.1575,0.3283,0.3107,
textEN_bm25_26,50,50000,26664,7696,0.1452,0.0760,0.2338,0.2535,0.8070,0.8534,0.4627,0.3180,0.2012,0.1060,0.0535,0.0104,0.0000,0.0000,0.0000,0.0000,0.6760,0.6400,0.6120,0.5950,0.5533,0.4380,0.3571,0.2420,0.1539,0.5923,0.2844,
textEN_bm25_27,50,50000,26664,8666,0.1690,0.0851,0.2602,0.2916,0.8072,0.8535,0.4811,0.3496,0.2532,0.1679,0.0771,0.0385,0.0093,0.0071,0.0000,0.0000,0.6760,0.6380,0.6160,0.5960,0.5553,0.4506,0.3783,0.2628,0.1733,0.5910,0.3313,
textEN_bm25_28,50,50000,26664,8472,0.1712,0.0930,0.2591,0.2710,0.8139,0.8764,0.5167,0.3795,0.2627,0.1387,0.0879,0.0113,0.0000,0.0000,0.0000,0.0000,0.7360,0.6920,0.6587,0.6400,0.6080,0.4856,0.3988,0.2664,0.1694,0.6295,0.3079,
textEN_bm25_29,50,50000,26664,9942,0.1976,0.1105,0.2900,0.3176,0.8143,0.8772,0.5250,0.4319,0.3106,0.2010,0.1320,0.0416,0.0000,0.0000,0.0000,0.0000,0.7360,0.6940,0.6613,0.6400,0.6087,0.4990,0.4204,0.2922,0.1988,0.6311,0.3758,
textEN_bm25_30,50,50000,26664,8470,0.1720,0.0932,0.2611,0.2704,0.8342,0.8794,0.5219,0.3815,0.2575,0.1395,0.0878,0.0112,0.0000,0.0000,0.0000,0.0000,0.7200,0.6900,0.6667,0.6440,0.6133,0.4880,0.4008,0.2665,0.1694,0.6284,0.3074,
textEN_bm25_31,50,50000,26664,9927,0.1987,0.1117,0.2905,0.3167,0.8354,0.8787,0.5306,0.4354,0.3126,0.2009,0.1354,0.0407,0.0000,0.0000,0.0000,0.0000,0.7240,0.6920,0.6667,0.6450,0.6120,0.5040,0.4264,0.2944,0.1985,0.6307,0.3741,
textEN_bm25_32,50,50000,26664,9856,0.1732,0.1285,0.2798,0.3398,0.8458,0.9005,0.5201,0.3812,0.2567,0.1588,0.0770,0.0159,0.0000,0.0000,0.0000,0.0000,0.7400,0.6840,0.6640,0.6460,0.6127,0.4766,0.3957,0.2830,0.1971,0.6492,0.3728,
textEN_bm25_33,50,50000,26664,10230,0.1817,0.1333,0.2888,0.3550,0.8458,0.9010,0.5265,0.3920,0.2709,0.1776,0.1031,0.0386,0.0062,0.0000,0.0000,0.0000,0.7400,0.6880,0.6667,0.6440,0.6127,0.4806,0.4007,0.2899,0.2046,0.6517,0.3927,
textEN_bm25_34,50,50000,26664,10701,0.2022,0.1586,0.3101,0.3680,0.8310,0.8921,0.5825,0.4403,0.3366,0.2092,0.0978,0.0259,0.0000,0.0000,0.0000,0.0000,0.7400,0.7080,0.6800,0.6720,0.6560,0.5314,0.4439,0.3096,0.2140,0.6615,0.4085,
textEN_bm25_35,50,50000,26664,10867,0.2062,0.1607,0.3134,0.3745,0.8310,0.8921,0.5817,0.4449,0.3343,0.2147,0.1169,0.0328,0.0000,0.0000,0.0000,0.0000,0.7400,0.7080,0.6787,0.6720,0.6547,0.5320,0.4467,0.3124,0.2173,0.6615,0.4169,
textEN_bm25_36,50,50000,26664,10687,0.2013,0.1583,0.3087,0.3674,0.8215,0.8944,0.5807,0.4378,0.3334,0.2025,0.0971,0.0261,0.0000,0.0000,0.0000,0.0000,0.7520,0.7040,0.6907,0.6740,0.6567,0.5300,0.4420,0.3092,0.2137,0.6605,0.4079,
textEN_bm25_37,50,50000,26664,10832,0.2051,0.1598,0.3119,0.3733,0.8204,0.8933,0.5790,0.4391,0.3346,0.2106,0.1172,0.0327,0.0000,0.0000,0.0000,0.0000,0.7480,0.7040,0.6893,0.6730,0.6560,0.5324,0.4440,0.3118,0.2166,0.6603,0.4160,
textEN_bm25_38,50,49556,26664,9533,0.1668,0.1253,0.2732,0.3301,0.8260,0.8848,0.5077,0.3758,0.2516,0.1438,0.0644,0.0114,0.0000,0.0000,0.0000,0.0000,0.7120,0.6640,0.6520,0.6180,0.5913,0.4706,0.3959,0.2765,0.1907,0.6263,0.3615,
textEN_bm25_39,50,50000,26664,9939,0.1771,0.1302,0.2837,0.3463,0.8259,0.8845,0.5119,0.3850,0.2653,0.1721,0.0785,0.0244,0.0100,0.0000,0.0000,0.0000,0.7120,0.6620,0.6467,0.6160,0.5927,0.4750,0.4043,0.2853,0.1988,0.6257,0.3831,
textEN_bm25_40,50,49556,26664,10339,0.1953,0.1513,0.2995,0.3564,0.8500,0.9077,0.5630,0.4389,0.3035,0.1832,0.0954,0.0172,0.0000,0.0000,0.0000,0.0000,0.7360,0.7100,0.6800,0.6570,0.6373,0.5216,0.4369,0.3008,0.2068,0.6648,0.3943,
textEN_bm25_41,50,50000,26664,10553,0.1994,0.1540,0.3034,0.3627,0.8500,0.9081,0.5662,0.4405,0.3103,0.1993,0.1044,0.0259,0.0000,0.0000,0.0000,0.0000,0.7360,0.7100,0.6800,0.6570,0.6367,0.5252,0.4402,0.3026,0.2111,0.6648,0.4043,
textEN_bm25_42,50,49556,26664,10315,0.1947,0.1508,0.2996,0.3557,0.8557,0.9068,0.5620,0.4369,0.3012,0.1880,0.0920,0.0164,0.0000,0.0000,0.0000,0.0000,0.7400,0.6940,0.6773,0.6670,0.6400,0.5190,0.4362,0.2999,0.2063,0.6565,0.3932,
textEN_bm25_43,50,50000,26664,10495,0.1984,0.1532,0.3032,0.3614,0.8557,0.9073,0.5640,0.4389,0.3089,0.1930,0.1043,0.0194,0.0000,0.0000,0.0000,0.0000,0.7400,0.6940,0.6760,0.6650,0.6387,0.5210,0.4388,0.3025,0.2099,0.6564,0.4028,
textEN_bm25_44,50,50000,26664,7276,0.0980,0.0534,0.1995,0.2488,0.6318,0.7196,0.3147,0.2193,0.1282,0.0700,0.0210,0.0000,0.0000,0.0000,0.0000,0.0000,0.4400,0.4160,0.3973,0.3800,0.3620,0.3118,0.2684,0.2036,0.1455,0.3665,0.2763,
textEN_bm25_45,50,50000,26664,7597,0.1023,0.0547,0.2031,0.2614,0.6319,0.7183,0.3231,0.2270,0.1389,0.0749,0.0330,0.0093,0.0000,0.0000,0.0000,0.0000,0.4400,0.4140,0.3973,0.3810,0.3627,0.3146,0.2707,0.2069,0.1519,0.3653,0.2920,
textEN_bm25_46,50,50000,26664,7962,0.1169,0.0599,0.2215,0.2679,0.6454,0.7379,0.3544,0.2557,0.1729,0.1038,0.0512,0.0043,0.0000,0.0000,0.0000,0.0000,0.5040,0.4660,0.4427,0.4270,0.4040,0.3354,0.2936,0.2236,0.1592,0.3962,0.2973,
textEN_bm25_47,50,50000,26664,8399,0.1226,0.0616,0.2275,0.2830,0.6454,0.7365,0.3604,0.2696,0.1804,0.1149,0.0566,0.0043,0.0000,0.0000,0.0000,0.0000,0.5040,0.4640,0.4427,0.4260,0.4027,0.3360,0.2971,0.2291,0.1680,0.3949,0.3197,
textEN_bm25_48,50,50000,26664,7936,0.1169,0.0593,0.2228,0.2671,0.6548,0.7420,0.3535,0.2522,0.1719,0.1020,0.0510,0.0043,0.0000,0.0000,0.0000,0.0000,0.5160,0.4660,0.4480,0.4350,0.4107,0.3374,0.2915,0.2223,0.1587,0.3985,0.2967,
textEN_bm25_49,50,50000,26664,8384,0.1227,0.0610,0.2274,0.2822,0.6548,0.7398,0.3586,0.2640,0.1897,0.1147,0.0555,0.0118,0.0000,0.0000,0.0000,0.0000,0.5120,0.4660,0.4467,0.4330,0.4067,0.3372,0.2968,0.2266,0.1677,0.3983,0.3194,
textEN_bm25_50,50,50000,26664,7398,0.1347,0.0698,0.2239,0.2452,0.8072,0.8512,0.4448,0.2976,0.1779,0.0872,0.0346,0.0099,0.0000,0.0000,0.0000,0.0000,0.6760,0.6260,0.5987,0.5790,0.5387,0.4188,0.3429,0.2311,0.1480,0.5819,0.2745,
textEN_bm25_51,50,50000,26664,8251,0.1566,0.0771,0.2488,0.2793,0.8179,0.8563,0.4617,0.3150,0.2380,0.1585,0.0622,0.0393,0.0072,0.0059,0.0000,0.0000,0.6800,0.6280,0.6053,0.5840,0.5433,0.4294,0.3624,0.2478,0.1650,0.5840,0.3142,
textEN_bm25_52,50,50000,26664,7192,0.1282,0.0657,0.2169,0.2393,0.8046,0.8502,0.4273,0.2872,0.1604,0.0734,0.0315,0.0090,0.0000,0.0000,0.0000,0.0000,0.6640,0.6240,0.5933,0.5590,0.5293,0.4060,0.3328,0.2232,0.1438,0.5822,0.2668,
textEN_bm25_53,50,50000,26664,7989,0.1488,0.0721,0.2406,0.2720,0.7959,0.8468,0.4486,0.2970,0.2114,0.1273,0.0456,0.0388,0.0063,0.0050,0.0000,0.0000,0.6560,0.6160,0.5973,0.5680,0.5333,0.4210,0.3492,0.2392,0.1598,0.5721,0.3041,
textEN_bm25_54,50,50000,26664,9325,0.1562,0.1131,0.2622,0.3221,0.8508,0.8940,0.4849,0.3491,0.2217,0.1243,0.0527,0.0028,0.0000,0.0000,0.0000,0.0000,0.6920,0.6600,0.6360,0.6290,0.5907,0.4468,0.3697,0.2647,0.1865,0.6225,0.3521,
textEN_bm25_55,50,50000,26664,9753,0.1661,0.1182,0.2739,0.3399,0.8508,0.8930,0.4918,0.3619,0.2354,0.1559,0.0805,0.0147,0.0049,0.0000,0.0000,0.0000,0.6800,0.6540,0.6387,0.6290,0.5913,0.4496,0.3767,0.2734,0.1951,0.6201,0.3736,
textEN_bm25_56,50,50000,26664,8878,0.1443,0.1024,0.2485,0.3078,0.8043,0.8643,0.4579,0.3268,0.1972,0.1100,0.0458,0.0000,0.0000,0.0000,0.0000,0.0000,0.6600,0.6280,0.6187,0.6150,0.5747,0.4300,0.3537,0.2545,0.1776,0.5903,0.3354,
textEN_bm25_57,50,50000,26664,9329,0.1545,0.1075,0.2607,0.3265,0.8009,0.8608,0.4656,0.3402,0.2151,0.1304,0.0702,0.0110,0.0051,0.0000,0.0000,0.0000,0.6400,0.6260,0.6227,0.6080,0.5753,0.4382,0.3610,0.2623,0.1866,0.5900,0.3566,
textEN_bm25_58,50,49556,26664,8943,0.1502,0.1107,0.2568,0.3109,0.8084,0.8700,0.4760,0.3341,0.2137,0.1130,0.0447,0.0110,0.0000,0.0000,0.0000,0.0000,0.6800,0.6440,0.6173,0.5970,0.5720,0.4450,0.3717,0.2600,0.1789,0.6053,0.3393,
textEN_bm25_59,50,50000,26664,9406,0.1620,0.1159,0.2691,0.3299,0.8050,0.8690,0.4823,0.3520,0.2336,0.1570,0.0698,0.0248,0.0084,0.0000,0.0000,0.0000,0.6840,0.6380,0.6093,0.5960,0.5733,0.4530,0.3784,0.2683,0.1881,0.6024,0.3634,
textEN_bm25_60,50,49556,26664,8539,0.1400,0.1019,0.2459,0.2979,0.8068,0.8710,0.4534,0.3093,0.1824,0.0951,0.0379,0.0104,0.0000,0.0000,0.0000,0.0000,0.6760,0.6180,0.6013,0.5920,0.5633,0.4266,0.3581,0.2495,0.1708,0.5917,0.3247,
textEN_bm25_61,50,50000,26664,9072,0.1523,0.1067,0.2586,0.3197,0.8034,0.8699,0.4570,0.3234,0.2002,0.1376,0.0673,0.0243,0.0074,0.0000,0.0000,0.0000,0.6800,0.6120,0.5867,0.5800,0.5620,0.4316,0.3619,0.2586,0.1814,0.5914,0.3518,
